정제: 거기 비쌀까요??	거기 비쌀까요??
정제: 욕심내지말아야지...	욕심 내지 말아야지...
정제: 편의점 쇼핑하고옴	편의점 쇼핑하고 왔어
정제: 헐	헐
정제: 밀크타라멜	밀크카라멜
정제: #@이름#가	#@이름# 가
정제: 좋아해	좋아해.
정제: 상큼한 젤리 살지	상큼한 젤리 사지.
정제: 난 그것도 너무 좋아ㅠ시간떼우기 딱이다	난 그것도 너무 좋아ㅠ 시간 떼우기 딱이다.
정제: 나 젤리는	나 젤리는
정제: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
정제: 좋아한다	좋아한다
정제: 넹넹	네네.
정제: 60-70 정도 생각했는데 70~80이겠어	60-70 정도 생각했는데 70~80 이겠어.
정제: 더 들어갈 수도 있고	더 들어갈 수도 있고.
정제: #@이름#랑도 이야기 해봐	#@이름#랑도 이야기 해봐.
정제: 응응 ㅋㅋ	응응 ㅋㅋ.
정제: 코타키나발루는 얼마나 들어?	코타키나발루는 얼마나 들어?
정제: 정말 안 아끼고 써도 60 좀 넘을 것 같아	정말 안 아끼고 써도 60 좀 넘을 것 같아.
정제: 호텔도 좋은 데야	호텔도 좋은 데야.
정제: 이틀은 4성, 하루는 5성	이틀은 4성, 하루는 5성
정제: 언니 #@이름#가 뉴욕 가고싶대	언니 #@이름# 가 뉴욕 가고 싶대.
정제: 혼내줘	혼내줘
정제: 근데 코타 5성 가격으로 홍콩에서 2성 갈 수 있겠어	근데 코타 5성 가격으로 홍콩에서 2성 갈 수 있겠어.
정제: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
정제: 이런 된장녀	이런 된장녀.
정제: 미쿡은 나중에 돈 벌어서 가라고 해	미쿡은 나중에 돈 벌어서 가라고 해.
정제: 너무 비싸	너무 비싸.
정제: 괜찮은데가 어디잇지	괜찮은데 가 어디 있지.
정제: 홍콩 만만하게 봤었는데	홍콩 만만하게 봤었는데.
정제: 내일 컴터로 좀 찾아볼게	내일 컴퓨터로 좀 찾아볼게.
정제: 성수기는 역시 달라	성수기는 역시 달라.
정제: ㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋ
정제: 컴백도못하고	컴백도 못하고
정제: 추석떄도	추석 때도
정제: 못올팔자	못 올 팔자
정제: 카겜즈 왜사냐	카겜즈 왜 사냐.
정제: 오딘떄매사냐	오딘 때문에 사냐
정제: 엔시소프트좀 사주라	엔시소프트 좀 사주라.
정제: 카겜즈 왠지 만원오를느낌이라 ㅋㅋ	카겜즈 왠지 만원 오를 느낌이라 ㅋㅋ.
정제: 엔씨 노답스	엔씨 노답스.
정제: 도쿄게임쇼에 리니지w 나온다니깐 그때 오르면 팔아라	도쿄 게임쇼에 리니지W 나온다니깐 그때 오르면 팔아라.
정제: ㅋㅋ 프레스티지 바이오로직스	ㅋㅋ 프레스티지 바이오로직스
정제: 탈출해야하나	탈출해야 하나.
정제: ㅋㅋㅋ 셀트 떨어지던디	ㅋㅋㅋ 셀트 떨어지던데.
정제: ㅋㅋ25만언일떄도 있었는디 ㅋㅋ	ㅋㅋ 25만 원일 때도 있었는데 ㅋㅋ
정제: 저점 밑으로는 안갈것같에서 만족중이다	저점 밑으로는 안 갈 것 같아서 만족 중이다.
정제: ㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋ
정제: 셀트는 진짜 30때팔려나보네	셀트는 진짜 30 때 팔려나 보네.
정제: 33까지도 본디	33까지도 본다
정제: 억울하자나	억울하잖아
정제: 난 셀트 32이상	난 셀트 32 이상
정제: 님 급전버려고 하시는데 옷사시면어쩨여ㅠㅠㅠ	님 급 전버려고 하시는데 옷 사시면 어째요 ㅠㅠㅠ
정제: ㅋㅋㅋㅋㅋ케	ㅋㅋㅋㅋㅋ 케
정제: 일단 실물보고 ㄱ	일단 실물 보고 ㄱ
정제: 사고싳어서 ㅋㅋㅋ	사고싶어서 ㅋㅋㅋ
정제: 트위드 손상없는지 체크	트위드 손상 없는지 체크
정제: 나 그래서 당근못지운다	나 그래서 당근 못 지운다.
정제: 레녹스 그릇 3개 5만원 오늘도	레녹스 그릇 3개 5만원 오늘도.
정제: 손이 벌벌떨렦다....	손이 벌벌 떨렸다....
정제: 하지만 참아따......대단한 나자신....ㅎ	하지만 참았다...... 대단한 나 자신.... ㅎ
정제: 님 알바 전화주시져	님 알바 전화 주시죠.
정제: 어디 마트갈거야?	어디 마트 갈 거야?
정제: 여긴 이마트가 젤 낫드라구	여긴 이마트가 젤 낫더라고.
정제: 그렇구만	그렇구만.
정제: 젤크고 피코크도 많아	제일 크고 피코크도 많아.
정제: 밀키트종류도 많구	밀키트 종류도 많고.
정제: 피코크 시카고 피자 맛있을까?	피코크 시카고 피자 맛있을까?
정제: 맛있데	맛있대
정제: 늘품절이더라	늘 품절이더라.
정제: 그럴듯	그럴듯
정제: 다른 맛이나 뭐 괜찮은 티백들도 사요 ㅎ	다른 맛이나 뭐 괜찮은 티백들도 사요 ㅎ.
정제: 골라가면서 먹게 ㅋㅋ	골라 가면서 먹게 ㅋㅋ.
정제: 오호 ㅎㅎㅎ	오호 ㅎㅎㅎ.
정제: 나쁘지 않았나보네 ㅋㅋ	나쁘지 않았나 보네 ㅋㅋ.
정제: 맛이 나니까 물 많이 마시고 있쥐 ㅎ	맛이 나니까 물 많이 마시고 있지 ㅎ
정제: 잘하고 있네 ㅋㅋㅋ	잘 하고 있네 ㅋㅋㅋ.
정제: 뭐가 맛있을지 한번 봐야겠댜	뭐가 맛있을지 한번 봐야겠다
정제: 너무 쓰고 그런거 말고	너무 쓰고 그런 거 말고.
정제: 무난하게 먹을 수 있는걸로 사요 ㅎ	무난하게 먹을 수 있는 걸로 사요 ㅎ.
정제: 알쓰 ! ㅎㅎ	알았어! ㅎㅎ
정제: ㅋㅋㅋㅋ니쓰레기봉지어디서사다줄거야	ㅋㅋㅋㅋ 니 쓰레기 봉지 어디서 사다줄 거야.
정제: 바쁘니	바쁘니.
정제: 씨유 ?	씨유?
정제: 왜?	왜?
정제: 몇개사올거야	몇 개 살 거야.
정제: 한개얼마야	한 개 얼마야.
정제: 몰라...	몰라...
정제: 옛날꺼	옛날 거
정제: 니50리터750원이라햇제	니 50리터 750원이라 했지.
정제: 응	응.
정제: ????가격정상이냐	???? 가격 정상이냐
정제: 저거 안에 가방 하나 더 들어있긴 함 ㅋㅋㅋ	저거 안에 가방 하나 더 들어있긴 함 ㅋㅋㅋ.
정제: 근데 투명 두 개 주는 건 좀 너무하넴	근데 투명 두 개 주는 건 좀 너무하네.
정제: #@시스템#검색#	#@시스템# 검색.
정제: 셀린느는 저 안에 가죽으로 된 작은 파우치 주거든 ㅋㅋ	셀린느는 저 안에 가죽으로 된 작은 파우치 주거든 ㅋㅋ.
정제: ㅋㅋㅋㅋㅋㅋㅋ힙스터면 유행따라 저거 투명백 유행할 때 들고 유행 지나면 안에 파우치만 쓰면 되니까 뭨ㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋ힙스터면 유행 따라 저거 투명백 유행할 때 들고 유행 지나면 안에 파우치만 쓰면 되니까 뭐ㅋㅋㅋㅋ
정제: 근데 마르지엘라는 진짜 좀 돈 아깝넼ㅋㅋ	근데 마르지엘라는 진짜 좀 돈 아깝네 ㅋㅋ
정제: 유행할때만쓸액수가아닌데 ㅂㄷㅂㄷ	유행할 때만 쓸 액수가 아닌데 ㅂㄷㅂㄷ.
정제: 셀린느는 투명백이 7만원 파우치가 80이라고 생각하면 살만할듯 ㅋㅋㅋ	셀린느는 투명백이 7만원, 파우치가 80이라고 생각하면 살만할 듯 ㅋㅋㅋ.
정제: 파우치저거 쥐똥만할거아냐	파우치 저거 쥐 똥만 할 거 아냐.
정제: 명품쇼핑백이있다곤했지만이가격인줄	명품 쇼핑백이 있다고 했지만 이 가격인 줄.
정제: 셀린느 가방이 400정도니까	셀린느 가방이 400정도니까.
정제: 파우치 80이면 뭐...	파우치 80이면 뭐...
정제: 비닐봉다리...	비닐 봉다리...
정제: 오빠야한테 내 아이패드	오빠야, 내 아이패드.
정제: 30~40줏다고함 ㅎ	30~40 줬다고 함 ㅎ
정제: 그래서 짝퉁산걸로 오해하시는거아니가	그래서 짝퉁 산걸로 오해하시는 거 아닌가.
정제: 에어3	에어3
정제: 십일번가에서	십일번가에서
정제: 50만원에 팔던데	50만 원에 팔던데.
정제: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
정제: 몰라 슬마 알아보긋나~	몰라, 설마 알아보겠나~
정제: 마쟈~~ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	맞아~~ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
정제: 하... 이번달.. 뭔가 살거 많을듯..	하... 이번 달.. 뭔가 살 것 많을듯..
정제: 십일절 벌써	십일절 벌써.
정제: 털릿다ㅜㅜ	털렸다ㅜㅜ
정제: 뭐샀너 !	뭐 샀어!
정제: 나도 지금	나도 지금
정제: 십일번가랑 지마켓 들락날락 거니느즁	십일번가랑 지마켓 들락날락 거리는 중.
정제: 난 십일번가만 판다ㅜ	난 십일번가만 판다 ㅜ.
정제: #@이름#아	#@이름# 아.
정제: 택배 왔는데 이게 뭐냐	택배 왔는데 이게 뭐냐.
정제: 아 그거 뜯어봐봐	아 그거 뜯어 봐봐.
정제: 로에베 패딩 산거임	로에베 패딩 산 건데.
정제: 어때?	어때?
정제: 아직 안뜯어 봄	아직 안 뜯어 봄.
정제: 기다려바	기다려 봐
정제: ㅋㅋ예쁘다	ㅋㅋ예쁘다.
정제: 근데 빵빵하진 않네	근데 빵빵하진 않네.
정제: ㅋㅋ 길어?	ㅋㅋ 길어?
정제: 조금	조금
정제: #@URL#	#@URL#
정제: 여기가 좀 더 저렴한것 같기도 함	여기가 좀 더 저렴한 것 같기도 해.
정제: 요런거 하면됮않아?	이런 거 하면 되잖아?
정제: 응 마자 ㅋㅋ ㅋ	응 맞아 ㅋㅋ ㅋ
정제: 이건 1300	이건 1300.
정제: 1300원이네, 아까 저거 같은 링크는 1900원이엇느뎀	1300원이네, 아까 저거 같은 링크는 1900원이었는데.
정제: 그거는 글씨가 세워져잇는느낌	그거는 글씨가 세워져 있는 느낌
정제: 입체로	입체로
정제: 아	아
정제: 상의 2.2 하의 3.2	상의 2.2 하의 3.2
정제: 5.4네	5.4네
정제: 블프에 얼마엿더라	블프에 얼마였더라
정제: 만장 에브리웨어	만장 에브리웨어
정제: 너가 산건 베이직 트레이닝 세트라 다른건가봐	너가 산 건 베이직 트레이닝 세트라 다른 건가 봐.
정제: 2.25에 샀네 너	2.25에 샀네 너.
정제: 거의 같아보이는디	거의 같아 보이는데
정제: 다른거래	다른 거래
정제: 재질이 좀 다른가..?	재질이 좀 다른가..?
정제: 그런가봄...	그런가봐...
정제: 살꺼임..?	살 거임..?
정제: 고민되네..	고민되네.
정제: 5.4 ㅠㅠ 비싸..	5.4 ㅠㅠ 비싸..
정제: 아 나도 블프때 샀어야하는건데	아 나도 블프 때 샀어야 하는 건데.
정제: ㅋㅋㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋㅋ
정제: 사실	사실
정제: 그렇게 비싼건아니지	그렇게 비싼 건 아니지.
정제: 위아래 세트 5.4ㅕㄴ	위아래 세트 5.4년
정제: 면	면
정제: 기본티좀사야되는데	기본 티 좀 사야 되는데.
정제: 어디서사냐	어디서 사냐.
정제: 진짜 그냥흰색티가없음	진짜 그냥 흰색 티가 없음.
정제: 다 누래져가지고	다 누래져가지고
정제: 브랜디	브랜디
정제: 근데 넘 금방 늘어나긴한데..	근데 넘 금방 늘어나긴 한데..
정제: 싼마이로다가..	싼마이로다가..
정제: 좀 사고버려야겠어	좀 사고 버려야겠어.
정제: 이번달엔 돈없으니깐	이번 달엔 돈 없으니깐.
정제: 담달에 월급받으면사야지..	다음 달에 월급 받으면 사야지..
정제: 그럼 내꺼까지 수량 +1	그럼 내 꺼까지 수량 +1
정제: 하나만 사주라	하나만 사줘라
정제: ㅇㅖ..?ㅋㅋㅋㅋㅋ	애..?ㅋㅋㅋㅋㅋ
정제: 그래..되게 애걸복걸하네	그래.. 되게 애걸복걸하네.
정제: 오예~잼짜넠ㅋㅋ	오예~ 재밌잖아ㅋㅋ
정제: 근데 나도 흰티 걍 싼맛에 샀는데 다늘어남..	근데 나도 흰 티 그냥 산 맛에 샀는데 다 늘어남..
정제: 얼마주고 샀어	얼마 주고 샀어
정제: 그래도 일단 나 흰색티가 없어서 뭐라도 사야될듯	그래도 일단 나 흰색 티가 없어서 뭐라도 사야 될 듯.
정제: 얼마드라 한장에 5900원인가 그랬어	얼마더라 한 장에 5900원인가 그랬어.
정제: 나는 오히려 지연 되는 것 때문에	나는 오히려 지연되는 것 때문에.
정제: 빨리 들어왔으면 좋겠다	빨리 들어왔으면 좋겠다.
정제: 자꾸 배달이라든지	자꾸 배달이라든지.
정제: 이런 걸로 돈을 쓴대	이런 걸로 돈을 쓴대.
정제: 돈이 나간대	돈이 나간대
정제: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
정제: 완전 맞잖아	완전 맞잖아.
정제: 개인리딩 아녀...?	개인 리딩 아냐...?
정제: 농산물 카페 그만해	농산물 카페 그만 해
정제: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
정제: 나 이번주에 안 그래도	나 이번 주에 안 그래도.
정제: 펜션 여행으로	펜션 여행으로
정제: 돈 나가잖아	돈 나가잖아.
정제: 수요일에 장봐서 갈 건데	수요일에 장 봐서 갈 건데.
정제: 아 너 이번주에 간댔지	아 너 이번 주에 간댔지.
정제: 나 이번주가 크리스마스인줄	나 이번 주가 크리스마스인 줄
정제: 나 그럼 다음주다	나 그럼 다음 주다.
정제: 알아서잘타고오겟지...	알아서 잘 타고 오겠지...
정제: ㅋㅋㅋㅋㅋㅋ표사는줄이어마어마했음..	ㅋㅋㅋㅋㅋㅋ 표사는 줄이 어마어마했음..
정제: 그거미리예약된다아냐	그거 미리 예약된다. 알아?
정제: 예약햇을거같은데ㅋㅋㅋㅋㅋㅋㅋ	예약했을 것 같은데 ㅋㅋㅋㅋㅋㅋㅋ
정제: 후밖에덥다	후 밖에 덥다.
정제: 날씨진짜오락가락하노ㅋㅋㅋㅋ	날씨 진짜 오락가락하노 ㅋㅋㅋㅋ
정제: 나는모둠조별활동을 위해 나간다.....	나는 모둠 조별 활동을 위해 나간다.....
정제: 우울해....	우울해....
정제: 그거내는미리예약했는데	그거 나는 미리 예약했는데.
정제: 어늘까지던가 예약자너무많아서	오늘까지던가 예약자 너무 많아서.
정제: 예약판매중지래 어제드가보니까	예약 판매 중지래 어제 들어가봤더니.
정제: 암튼어제표사는줄진짜와기겁함ㅋㅋㅋㅋㅋㅋ	암튼 어제 표 사는 줄 진짜 와 기겁함 ㅋㅋㅋㅋㅋㅋ
정제: 놀이공원 중에서도 완전 오래 걸리는 놀이기구급이었음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	놀이공원 중에서도 완전 오래 걸리는 놀이기구급이었어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ.
정제: 엥ㅋㅋㅋㅋㅋㅋㅋㅋㅋ오늘그래도저녁에논다메ㅋㅋㅋㅋㅋㅋㅋ	엥 ㅋㅋㅋ 오늘 그래도 저녁에 논다며 ㅋㅋㅋ
정제: 엥ㅋㅋㅋㅋㅋㅋㅋ	엥ㅋㅋㅋㅋㅋㅋㅋ
정제: 지금파스꾸지	지금 파스꾸지
정제: 약속5신데  우리아직까지 뭐제대로한게없음ㅋㅋㅋ	약속 5시인데 우리 아직까지 뭐 제대로 한 게 없음 ㅋㅋㅋ.
정제: 오신세좋네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	오 신세 좋네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ.
정제: 엥몇명이 한존데	엥 몇 명이 한 조인데.
정제: 4명ㅋㅋㅋ	4명 ㅋㅋㅋ.
정제: ㅋㅋㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋㅋ
정제: ㅋㅋㅋㅋ니는어디임지금??	ㅋㅋㅋㅋ 너는 어디임 지금??
정제: 연암가야댐ㅋㅋㅋㅋㅋㅋ	연암 가야 됨ㅋㅋㅋㅋㅋㅋ
정제: 아직조별중임?	아직 조별 중임?
정제: ㄴㄴㄴㄴ나지금노래방임ㅋㅋㅋ	ㄴㄴㄴㄴ 나 지금 노래방임 ㅋㅋㅋ
정제: 비싸드랑	비싸더라.
정제: #@시스템#검색#	#@시스템# 검색.
정제: 비싸당 ㅋㅋㅋㅋㅋ	비싸다 ㅋㅋㅋㅋㅋ
정제: 오홍	오홍.
정제: 그래도 괜찮은디	그래도 괜찮은데
정제: 사부릴까 우리동 ㅋㅋㅋ	사버릴까 우리도 ㅋㅋㅋ.
정제: ㅇㅅㅇ	ㅇㅅㅇ
정제: 비싸...	비싸...
정제: 으으 알겠다요 돈 아끼야겠다	으으 알겠다요, 돈 아껴야겠다.
정제: ㅋㅋㅋㅋㅋㅋㅋ	ㅋㅋㅋㅋㅋㅋㅋ
정제: 그글로 소고기 사묵장	그걸로 소고기 사먹자.
정제: 헿	헿.
정제: ㅋㅋㅋㅋㅋㅋ그기므야	ㅋㅋㅋㅋㅋㅋ그게 뭐야
정제: 소고기 물까 오랜만에	소고기 먹을까 오랜만에
정제: 쏘쏘쏘 괴기괴기	쏘쏘쏘 괴기괴기.
정제: 쇼핑해쏘	쇼핑했어
정제: 오잉	오잉
정제: 이게믕가요 ㅋㅋㅋㅋ	이게 뭔가요 ㅋㅋㅋㅋ
정제: 여부 나는 좀자다가 저녁먹고 가야겠어요	여보 나는 좀 자다가 저녁 먹고 가야겠어요.
정제: 저거 캐리어진짜 커	저거 캐리어 진짜 커.
정제: ㅜㅜㅜ	ㅜㅜㅜ
정제: #@이름#꺼보다 커 ??	#@이름# 꺼보다 커 ??
정제: 언래잇던거	원래 있던 거
정제: 웅 훨씬커	응 훨씬 커.
정제: ㄷ ㄷ	ㄷ ㄷ
정제: 나도 유럽갈때	나도 유럽 갈 때
정제: 하나 사거야지	하나 사가야지
정제: #@이름#이 양복 얼마주고삿으??	#@이름#이 양복 얼마 주고 샀어??
정제: 정장	정장
정제: 음	음
정제: 20만인가	20만 원인가
정제: 20~30사이일걸	20~30 사이일 걸
정제: 50만원짜리면	50만 원짜리면
정제: 비싼거네?	비싼거네?
정제: #@이름#이꺼 어디꺼야??	#@이름#이 거 어디 거야??
정제: 비싼거 같은데	비싼 거 같은데.
정제: TNGT	TNGT
정제: 거기서 삿으	거기서 샀어
정제: 백화점서 산거지?	백화점에서 산 거지?
정제: 맞춤아니구	맞춤 아니고.
정제: 엉	응
정제: 근데 갑자기 홰	근데 갑자기 왜
정제: ㅋㅋ	ㅋㅋ
정제: 동생	동생
정제: 하나 사야된다하길래	하나 사야 된다고 하길래.
